ID,Edad,Ingresos,Monto_Inicial,Scoring_Crediticio,Meses_Empleo,Num_Creditos,Ratio_Interes,Duracion,Ratio_Deuda_Ingresos,Estudios,Posesion_Hipoteca,Personas_Cargo,Fiador,Impago,Prima,Tipo_Jornada_Laboral_Autónomo,Tipo_Jornada_Laboral_Desempleado,Tipo_Jornada_Laboral_Jornada completa,Tipo_Jornada_Laboral_Tiempo parcial,Estado_Civil_Casado,Estado_Civil_Divorciado,Estado_Civil_Soltero,Cluster_KMeans
S97R7X,18,16000,5000,397,19,1,8.06,48,0.1,0,1,0,0,0,50.12,1,0,0,0,0,0,1,0
RLGTBY,50,62116,37278,486,217,3,21.96,12,0.55,1,1,0,1,1,800.0,0,0,0,1,1,0,0,1
SKE2P9,37,37602,44532,765,150,3,11.2,60,0.23,1,1,1,1,0,356.3,0,0,0,1,1,0,0,1
E2FB1D,56,67410,23752,643,369,1,21.24,24,0.18,1,0,1,0,0,198.72,1,0,0,0,1,0,0,1
TKSCGH,35,35930,28440,645,136,3,16.95,12,0.55,1,1,1,1,0,484.2,0,0,1,0,0,0,1,1
8CI0EZ,46,41235,34451,501,260,3,17.82,48,0.18,1,0,0,1,0,550.39,0,0,1,0,1,0,0,0
NBL3DD,64,34441,21299,544,342,2,22.8,12,0.55,0,1,1,0,0,464.97,0,1,0,0,1,0,0,1
ABRPBC,19,16000,5000,381,26,1,5.47,36,0.1,0,0,1,0,0,35.52,0,0,1,0,0,0,1,0
JU5UY4,20,18353,7310,840,0,3,14.87,60,0.1,1,0,1,0,1,54.85,0,1,0,0,0,0,1,0
6789JG,52,65141,49090,712,274,4,10.16,36,0.27,2,1,1,1,0,453.63,0,0,0,1,1,0,0,1
NJI8RT,67,44329,16946,524,455,3,6.42,60,0.1,1,1,1,1,0,244.42,0,0,1,0,1,0,0,0
IT40UM,25,33763,9575,626,27,1,2.04,36,0.1,1,1,0,1,0,54.72,0,1,0,0,1,0,0,0
VAQKF0,56,32716,16866,471,327,2,8.36,12,0.55,0,1,0,1,0,222.2,0,1,0,0,1,0,0,1
KM3LGH,61,44725,11138,425,359,4,9.72,24,0.14,0,1,0,1,0,134.71,0,0,0,1,1,0,0,0
0SN60A,41,33898,15747,488,191,3,6.04,36,0.15,0,0,1,0,0,143.65,0,0,0,1,1,0,0,0
B02JJB,31,62313,29203,455,42,3,10.71,12,0.43,3,0,1,0,0,428.41,0,0,1,0,1,0,0,1
PBNO4B,28,34011,6852,423,28,2,2.71,36,0.1,2,0,1,1,0,60.46,0,0,0,1,1,0,0,0
ZRYGYT,40,30156,15299,541,234,4,8.05,12,0.47,0,1,1,0,0,263.36,0,1,0,0,1,0,0,1
AGO731,23,26225,7981,586,0,2,16.77,12,0.34,1,1,1,0,0,107.68,0,0,1,0,0,0,1,0
8P8IML,30,47444,44923,633,64,2,9.99,36,0.36,2,0,0,1,1,397.26,1,0,0,0,0,0,1,1
JVJC0O,21,17599,5222,810,30,2,10.14,12,0.27,0,1,0,0,0,20.28,0,0,1,0,0,0,1,0
